7zip 24.09+dfsg-8
libblockdev-utils3:amd64 3.3.0-2.1
libblockdev3:amd64 3.3.0-2.1
libbluetooth3:amd64 5.82-1.1
libbluray2:amd64 1:1.3.4-1+b2
libboost-iostreams1.83.0:amd64 1.83.0-4.2
libboost-locale1.83.0:amd64 1.83.0-4.2
libboost-thread1.83.0:amd64 1.83.0-4.2
libbox2d2:amd64 2.4.1-3+b3
libbpf-dev:amd64 1:1.5.0-3
libbpf1:amd64 1:1.5.0-3
libbrlapi0.8:amd64 6.7-3.1
libbrotli1:amd64 1.1.0-2+b7
libbs2b0:amd64 3.1.0+dfsg-8+b1
libbsd0:amd64 0.12.2-2
libburn4t64:amd64 1.5.6-1.1+b1
libbytesize-common 2.11-2
libbytesize1:amd64 2.11-2
libbz2-1.0:amd64 1.0.8-6
libc-bin 2.41-12
libc-dev-bin 2.41-12
libc-l10n 2.41-12
libc6:amd64 2.41-12
libc6-dev:amd64 2.41-12
libc6-i386 2.41-12
libcaca0:amd64 0.99.beta20-5
libcacard0:amd64 1:2.8.0-3+b2
libcairo-gobject-perl 1.005-4+b4
libcairo-gobject2:amd64 1.18.4-1+b1
libcairo-perl 1.109-5+b1
libcairo-script-interpreter2:amd64 1.18.4-1+b1
libcairo2:amd64 1.18.4-1+b1
libcairomm-1.0-1v5:amd64 1.14.5-2+b1
libcaja-extension1:amd64 1.26.4-1
libcamd3:amd64 1:7.10.1+dfsg-1
libcanberra-gtk3-0:amd64 0.30-18
libcanberra-gtk3-module:amd64 0.30-18
libcanberra-pulse:amd64 0.30-18
libcanberra0:amd64 0.30-18
libcap-ng0:amd64 0.8.5-4+b1
libcap2:amd64 1:2.75-10+b1
libcap2-bin 1:2.75-10+b1
libcapstone5:amd64 5.0.6-1
libcarp-clan-perl 6.08-2
libcbor0.10:amd64 0.10.2-2
libcc1-0:amd64 14.2.0-19
libccolamd3:amd64 1:7.10.1+dfsg-1
libcdio-cdda2t64:amd64 10.2+2.0.2-1+b1
libcdio-paranoia2t64:amd64 10.2+2.0.2-1+b1
libcdio19t64:amd64 2.2.0-4
libcdparanoia0:amd64 3.10.2+debian-14+b1
libcdr-0.1-1:amd64 0.1.7-1+b3
libcdt5:amd64 2.42.4-3
libcfitsio10t64:amd64 4.6.2-2
libcgraph6:amd64 2.42.4-3
libcholmod5:amd64 1:7.10.1+dfsg-1
libchromaprint1:amd64 1.5.1-7
libcjson1:amd64 1.7.18-3.1
libclang-common-19-dev:amd64 1:19.1.7-3+b1
libclang-cpp19 1:19.1.7-3+b1
libclang-rt-19-dev:amd64 1:19.1.7-3+b1
libclang1-19 1:19.1.7-3+b1
libclass-method-modifiers-perl 2.15-1
libclass-xsaccessor-perl 1.19-4+b5
libclone-perl:amd64 0.47-1+b1
libcloudproviders0:amd64 0.3.6-2
libclucene-contribs1t64:amd64 2.3.3.4+dfsg-1.2+b1
libclucene-core1t64:amd64 2.3.3.4+dfsg-1.2+b1
libcmis-0.6-6t64 0.6.2-2.1+b1
libcodec2-1.2:amd64 1.2.0-3
libcolamd3:amd64 1:7.10.1+dfsg-1
libcolord2:amd64 1.4.7-3
libcolorhug2:amd64 1.4.7-3
libcom-err2:amd64 1.47.2-3+b3
libcommon-sense-perl:amd64 3.75-3+b5
libcommons-logging-java 1.3.0-2
libcommons-parent-java 56-1
libconfig++11:amd64 1.7.3-2
libcpuinfo0:amd64 0.0~git20250327.39ea79a-1
libcpupower1 6.12.38-1
libcrypt-dev:amd64 1:4.4.38-1
libcrypt-rc4-perl 2.02-5
libcrypt1:amd64 1:4.4.38-1
libcryptsetup12:amd64 2:2.7.5-2
libctf-nobfd0:amd64 2.44-3
libctf0:amd64 2.44-3
libcups2t64:amd64 2.4.10-3
libcupsfilters1t64:amd64 1.28.17-6
libcurl3t64-gnutls:amd64 8.14.1-2
libcurl4t64:amd64 8.14.1-2
libdaemon0:amd64 0.14-7.1+b3
libdata-dump-perl 1.25-1
libdate-calc-perl 6.4-2
libdate-calc-xs-perl:amd64 6.4-2+b4
libdate-manip-perl 6.98-1
libdatrie1:amd64 0.2.13-3+b1
libdav1d7:amd64 1.5.1-1
libdaxctl1:amd64 81-1
libdb5.3t64:amd64 5.3.28+dfsg2-9
libdbi-perl:amd64 1.647-1
libdbus-1-3:amd64 1.16.2-2
libdbus-glib-1-2:amd64 0.114-1
libdbusmenu-glib4:amd64 18.10.20180917~bzr492+repack1-4
libdbusmenu-gtk3-4:amd64 18.10.20180917~bzr492+repack1-4
libdc1394-25:amd64 2.2.6-5
libdca0:amd64 0.0.7-2+b2
libdconf1:amd64 0.40.0-5
libde265-0:amd64 1.0.15-1+b3
libdebconfclient0:amd64 0.280
libdebuginfod-common 0.192-4
libdebuginfod1t64:amd64 0.192-4
libdecor-0-0:amd64 0.2.2-2
libdecor-0-plugin-1-gtk:amd64 0.2.2-2
libdeflate0:amd64 1.23-2
libdevel-callchecker-perl:amd64 0.009-2
libdevmapper1.02.1:amd64 2:1.02.205-2
libdigest-perl-md5-perl 1.9-5
libdjvulibre-text 3.5.28-2.2
libdjvulibre21:amd64 3.5.28-2.2
libdnnl3.6:amd64 3.7.2+ds-2
libdotconf0:amd64 1.4.1-1
libdouble-conversion3:amd64 3.3.1-1
libdpkg-perl 1.22.21
libdrm-amdgpu1:amd64 2.4.124-2
libdrm-common 2.4.124-2
libdrm-intel1:amd64 2.4.124-2
libdrm-nouveau2:amd64 2.4.124-2
libdrm-radeon1:amd64 2.4.124-2
libdrm2:amd64 2.4.124-2
libduktape207:amd64 2.7.0-2+b2
libdv4t64:amd64 1.0.0-17.1+b1
libdvdnav4:amd64 6.1.1-3+b1
libdvdread8t64:amd64 6.1.3-2
libdw1t64:amd64 0.192-4
libdynaloader-functions-perl 0.004-2
libe-book-0.1-1:amd64 0.1.3-2+b4
libeb16t64:amd64 4.4.3-14.3
libebur128-1:amd64 1.2.6-1+b2
libecap3:amd64 1.0.1-4
libedit2:amd64 3.1-20250104-1
libefiboot1t64:amd64 38-3.1+b1
libefivar1t64:amd64 38-3.1+b1
libegl-mesa0:amd64 25.0.7-2
libegl1:amd64 1.7.0-1+b2
libelf-dev:amd64 0.192-4
libelf1t64:amd64 0.192-4
libenchant-2-2:amd64 2.8.2+dfsg1-3
libencode-locale-perl 1.05-3
libeot0:amd64 0.01-5+b2
libepoxy0:amd64 1.5.10-2
libepubgen-0.1-1:amd64 0.1.1-1+b2
liberror-perl 0.17030-1
libespeak-ng1:amd64 1.52.0+dfsg-5
libestr0:amd64 0.1.11-2
libetonyek-0.1-1:amd64 0.1.12-1
libevdev2:amd64 1.13.4+dfsg-1
libevent-2.1-7t64:amd64 2.1.12-stable-10+b1
libexecs1:amd64 1.4-2+b2
libexempi8:amd64 2.6.6-2
libexif12:amd64 0.6.25-1
libexiv2-28:amd64 0.28.5+dfsg-1
libexiv2-data 0.28.5+dfsg-1
libexpat1:amd64 2.7.1-2
libext2fs2t64:amd64 1.47.2-3+b3
libexttextcat-2.0-0:amd64 3.4.7-1+b1
libexttextcat-data 3.4.7-1
libextutils-depends-perl 0.8002-1
libfaad2:amd64 2.11.2-1
libfakeroot:amd64 1.37.1.1-1
libfastjson4:amd64 1.2304.0-2
libfcitx5-qt-data 5.1.9-1
libfcitx5-qt1:amd64 5.1.9-1+b1
libfcitx5-qt6-1:amd64 5.1.9-1+b1
libfcitx5config6:amd64 5.1.12-2
libfcitx5core7:amd64 5.1.12-2
